gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,score_mean,score_max,score_min,score_std,total_assessments,is_banked_mean,reg_mean,reg_min,unreg_count,clicks_total,vle_mean,vle_max,vle_min,vle_activity_range,engagement_score
M,Wales,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,71.25,94.0,44.0,21.06141812256082,4.0,0.0,-25.0,-25.0,0,604.0,129.66721854304635,236.0,-18.0,254.0,43035.0
M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,71.0,74.0,68.0,4.242640687119285,2.0,0.0,-37.0,-37.0,1,195.0,26.594871794871796,93.0,-18.0,111.0,13845.0
F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,65.0,100.0,45.0,21.50581316760657,5.0,0.0,-67.0,-67.0,0,105.0,49.542857142857144,145.0,-9.0,154.0,6825.0
M,North Western Region,HE Qualification,30-40%,35-55,0,60,N,Pass,85.33333333333333,100.0,72.0,8.888194417315589,9.0,0.0,-32.0,-32.0,0,279.0,113.46594982078852,260.0,-17.0,277.0,23808.0
F,South West Region,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,88.25,97.0,70.0,6.78400525299968,12.0,0.0,-58.0,-58.0,0,982.0,85.66904276985743,247.0,-11.0,258.0,86661.5
F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,74.5,75.0,74.0,0.7071067811865476,2.0,0.0,-123.0,-123.0,0,6.0,23.833333333333332,59.0,2.0,57.0,447.0
M,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn,73.0,80.0,66.0,9.899494936611665,2.0,0.0,-114.0,-114.0,1,378.0,23.854497354497354,83.0,-18.0,101.0,27594.0
M,East Anglian Region,A Level or Equivalent,10-20,0-35,1,150,N,Fail,40.0,40.0,40.0,0.0,1.0,0.0,-29.0,-43.0,0,44.0,47.0,157.0,-16.0,173.0,1760.0
M,South West Region,Lower Than A Level,20-30%,0-35,0,90,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-57.0,-57.0,1,55.0,-2.9454545454545453,22.0,-18.0,40.0,0.0
F,Scotland,Lower Than A Level,80-90%,35-55,0,60,N,Withdrawn,70.25,81.0,64.0,7.588368291888139,4.0,0.0,-22.0,-22.0,1,365.0,23.7013698630137,61.0,-16.0,77.0,25641.25
F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,69.76923076923077,100.0,46.0,19.689903699416806,13.0,0.0,-49.5,-81.0,0,226.0,119.14159292035399,255.0,-15.0,270.0,15767.846153846154
M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,73.14285714285714,86.0,67.0,6.866065623255953,7.0,0.0,-21.0,-21.0,0,175.0,71.76,224.0,-18.0,242.0,12800.0
M,North Western Region,HE Qualification,0-10%,35-55,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-135.0,-135.0,1,1.0,-16.0,-16.0,-16.0,0.0,0.0
M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,Y,Fail,61.5,92.0,40.0,18.218122845123204,6.0,0.0,-43.0,-43.0,0,216.0,51.486111111111114,226.0,-5.0,231.0,13284.0
M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,73.8,95.0,30.0,25.50882200337758,5.0,0.0,-46.5,-75.0,1,478.0,79.45188284518828,254.0,-12.0,266.0,35276.4
M,London Region,HE Qualification,70-80%,0-35,0,60,N,Pass,73.25,94.0,48.0,15.574600534786814,12.0,0.0,-30.0,-30.0,0,351.0,90.48148148148148,227.0,-16.0,243.0,25710.75
M,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,120,N,Pass,83.5,97.0,72.0,7.204796382208928,12.0,0.0,-53.0,-53.0,0,794.0,108.96725440806046,221.0,-18.0,239.0,66299.0
M,South West Region,Lower Than A Level,30-40%,0-35,0,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,-22.0,1,148.0,5.168918918918919,58.0,-1.0,59.0,0.0
F,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,90,Y,Pass,86.55555555555556,100.0,65.0,13.528775915720452,9.0,0.0,-58.0,-58.0,0,128.0,141.6875,248.0,-9.0,257.0,11079.111111111111
F,North Region,HE Qualification,0,0-35,0,90,N,Distinction,98.77777777777777,100.0,94.0,1.9860625479688292,9.0,0.0,-43.0,-43.0,0,1635.0,114.53700305810398,241.0,-18.0,259.0,161501.66666666666
M,Ireland,A Level or Equivalent,10-20,35-55,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-32.0,-35.0,1,61.0,-4.721311475409836,7.0,-18.0,25.0,0.0
F,Wales,HE Qualification,40-50%,0-35,0,120,N,Fail,58.0,60.0,56.0,2.8284271247461903,2.0,0.0,-43.0,-43.0,0,80.0,33.6125,135.0,-1.0,136.0,4640.0
F,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,120,N,Pass,47.8,63.0,1.0,26.319194516550084,5.0,0.0,-156.0,-156.0,0,267.0,74.16479400749064,235.0,-9.0,244.0,12762.599999999999
M,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,73.5,85.0,64.0,9.110433579144297,4.0,0.0,-50.0,-50.0,0,427.0,62.711943793911004,150.0,-18.0,168.0,31384.5
M,Wales,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,94.0,96.0,89.0,3.3665016461206942,4.0,0.0,-31.0,-31.0,0,227.0,122.11453744493392,234.0,4.0,230.0,21338.0
M,South East Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,0,35.0,7.742857142857143,26.0,-10.0,36.0,0.0
F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,120,Y,Pass,84.3,100.0,61.0,15.107393333508382,10.0,0.0,-61.0,-61.0,0,528.0,103.04734848484848,256.0,-7.0,263.0,44510.4
F,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,81.0909090909091,100.0,60.0,13.866899764940582,11.0,0.0,-18.0,-18.0,0,968.0,96.28719008264463,240.0,2.0,238.0,78496.0
F,East Midlands Region,A Level or Equivalent,80-90%,35-55,0,60,N,Distinction,92.27272727272727,100.0,80.0,8.174238913696,11.0,0.0,-130.0,-130.0,0,88.0,131.3181818181818,234.0,-9.0,243.0,8119.999999999999
F,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail,46.333333333333336,75.0,1.0,39.71565602295061,3.0,0.0,-60.0,-60.0,0,236.0,51.483050847457626,151.0,-9.0,160.0,10934.666666666668
M,South West Region,Lower Than A Level,0-10%,35-55,1,120,Y,Withdrawn,87.33333333333333,94.0,78.0,7.447594690010103,6.0,0.5,-74.5,-106.0,2,395.0,27.89873417721519,79.0,-18.0,97.0,34496.666666666664
